check,status,observed,expected,detail
output/week7/metrics/transfer_summary.csv:row_count,pass,80,80,
output/week7/metrics/week7_acceptance_audit.csv:row_count,pass,4,4,
output/week8/metrics/week8_acceptance_audit.csv:row_count,pass,15,15,
output/week8/metrics/E1_edge_ablation_raw_runs.csv:row_count,pass,120,120,
output/week8/metrics/E2_pair_scores.csv:row_count,pass,30,30,
output/week8/metrics/E2_realized_transfer_auc.csv:row_count,pass,30,30,
output/week8/metrics/E3_lofo_family_sensitivity_raw.csv:row_count,pass,35,35,
output/week8/audits/E3_permutation_aucs.csv:row_count,pass,500,500,
output/week8/metrics/E4_three_scenario_raw_runs.csv:row_count,pass,15,15,
output/week8/metrics/E5_structure_vs_lexical.csv:row_count,pass,100,100,
output/week85/metrics/E3_w85_lofo_raw.csv:row_count,pass,70,70,
output/week85/metrics/E2_w85_expanded_pair_scores.csv:row_count,pass,150,150,
output/week85/metrics/week85_acceptance_audit.csv:row_count,pass,12,12,
output/week8_patch/metrics/E5_structure_vs_lexical.csv:row_count,pass,180,180,
output/week8_patch/metrics/E5_corrected_acceptance_audit.csv:row_count,pass,6,6,
output/week6_head_ablation/metrics/head_ablation_raw_runs.csv:row_count,pass,30,30,
output/week6_head_ablation/metrics/head_ablation_summary.csv:row_count,pass,6,6,
output/week9/metrics/fewshot_raw_runs.csv:exists,fail,missing,present,
output/week9/metrics/fewshot_summary.csv:exists,fail,missing,present,
output/week9/metrics/fewshot_acceptance_audit.csv:exists,fail,missing,present,
output/week9/metrics/W9_E1_fewshot_curve.csv:row_count,pass,150,150,
output/week9/metrics/W9_E2_fewshot_seed_stability.csv:row_count,pass,30,30,
output/week9/metrics/W9_E3_shortcut_aware_fewshot.csv:row_count,pass,150,150,
output/week9/metrics/W9_E3_shortcut_aware_summary.csv:row_count,pass,30,30,
output/week9/metrics/week9_fewshot_rollup.csv:row_count,pass,2,2,
output/week9/metrics/fewshot_acceptance_audit_v2.csv:row_count,pass,2,2,
output/week9/metrics/hard_negative_family_raw.csv:row_count,pass,35,35,
output/week9/metrics/hard_negative_family_acceptance.csv:row_count,pass,2,2,
output/week10/metrics/final_rq_evidence_table.csv:row_count,pass,21,21,
output/week10/metrics/final_hypothesis_rollup.csv:row_count,pass,31,31,
output/week10/metrics/feature_bucket_transfer_summary.csv:row_count,pass,28,28,
output/week10/metrics/table6_ablation_all.csv:row_count,pass,101,101,
output/week10/metrics/fewshot_final_summary.csv:row_count,pass,30,30,
output/week10/metrics/hard_negative_family_final_summary.csv:row_count,pass,7,7,
output/week10/metrics/deviation_case_index.csv:row_count,pass,3,3,
output/week10/metrics/week10_acceptance_audit.csv:row_count,pass,31,31,
output/week10/audits/posthoc_flag_audit.csv:row_count,pass,5,5,
output/week10/audits/metric_consistency_audit.csv:row_count,pass,3,3,
output/week10/audits/table_figure_crosswalk.csv:row_count,pass,9,9,
output/week10/tables/table_rq1_main_results.csv:row_count,pass,3,3,
output/week10/tables/table_rq2_regional_heterogeneity.csv:row_count,pass,11,11,
output/week10/tables/table_rq3_transfer_boundary.csv:row_count,pass,5,5,
output/week10/tables/table_rq4_fewshot.csv:row_count,pass,30,30,
output/week10/tables/table_ablation_all.csv:row_count,pass,101,101,
output/week10/tables/table_family_boundary.csv:row_count,pass,7,7,
output/week7/metrics/week7_transfer_summary.csv:row_count,pass,4,4,
output/week7/metrics/week7_transfer_taxonomy.csv:row_count,pass,4,4,
output/week7/metrics/week7_to_week8_bridge.csv:row_count,pass,4,4,
output/week8/metrics/E3_lofo_setting_comparison.csv:row_count,pass,2,2,
output/week8/metrics/E3_hard_negative_family_summary.csv:row_count,pass,7,7,
output/week8/metrics/E5_structure_vs_lexical_corrected_summary.csv:row_count,pass,36,36,
output/week8/metrics/week8_diagnostic_rollup.csv:row_count,pass,5,5,
output/week11/metrics/P1_family_metric_lofo.csv:row_count,pass,35,35,
output/week11/metrics/P1_alpha_ablation.csv:row_count,pass,40,40,
output/week11/metrics/P1_family_centroid_distance.csv:row_count,pass,105,105,
output/week11/metrics/P2_method_comparison.csv:row_count,pass,125,125,
output/week11/metrics/P2_eerm_K_sensitivity.csv:row_count,pass,4,4,
output/week11/metrics/P3_full_fewshot_matrix.csv:row_count,pass,100,100,
output/week11/metrics/P4_w7_method_pairwise.csv:row_count,pass,24,24,
output/week11/metrics/P4_w9_fewshot_significance.csv:row_count,pass,8,8,
output/week11/metrics/P4_w11_overall_significance.csv:row_count,pass,5,5,
output/week11/metrics/week11_acceptance_audit.csv:row_count,pass,15,15,
output/week11/metrics/week11_score_estimate.csv:row_count,pass,1,1,
output/week11/tables/table_week11_hypothesis_audit.csv:row_count,pass,15,15,
output/week11/tables/table_week11_patch_summary.csv:row_count,pass,5,5,
output/week7/runs:exists,fail,missing,present,
output/week7/logs:exists,fail,missing,present,
output/week8/runs:exists,fail,missing,present,
output/week8/logs:exists,fail,missing,present,
output/week85/runs:exists,fail,missing,present,
output/week85/predictions:exists,fail,missing,present,
output/week8_patch/runs:exists,fail,missing,present,
output/week8_patch/logs:exists,fail,missing,present,
output/week8_patch/predictions:exists,fail,missing,present,
output/week6_head_ablation/runs:exists,fail,missing,present,
output/week9/runs:exists,fail,missing,present,
output/week9/logs:exists,fail,missing,present,
output/week9/runs:exists,fail,missing,present,
output/week9/logs:exists,fail,missing,present,
output/week9/predictions:exists,fail,missing,present,
output/week9/splits:exists,fail,missing,present,
output/week10/figures:file_count,pass,4,4,pattern=fig*.pdf
output/week11/logs:exists,fail,missing,present,
output/week11/runs:exists,fail,missing,present,
output/week11/plots:file_count,pass,4,4,pattern=P*.png
output/week11/audits:file_count,fail,0,40,pattern=P3_*_split.csv
output/week8_patch/metrics/E5_corrected_acceptance_audit.csv:is_posthoc_true,pass,6/6 true,all true,
output/week9/metrics/fewshot_acceptance_audit.csv:posthoc_column,fail,missing_file,is_posthoc column,
