transfer_id,method,seed,primary_metric_value_isolated,primary_metric_value_released,delta
T1_Nordic,dann_strurw,42,0.8387096774193549,0.3548387096774194,0.4838709677419355
T1_Nordic,dann_strurw,43,0.3225806451612903,0.2258064516129032,0.09677419354838712
T1_Nordic,dann_strurw,44,0.22580645161290322,0.2258064516129032,2.7755575615628914e-17
T1_Nordic,dann_strurw,45,0.1935483870967742,0.1290322580645161,0.06451612903225809
T1_Nordic,dann_strurw,46,0.41935483870967744,0.3548387096774194,0.06451612903225806
T1_Nordic,strurw,42,0.12903225806451613,0.0967741935483871,0.03225806451612903
T1_Nordic,strurw,43,0.2903225806451613,0.1935483870967742,0.09677419354838712
T1_Nordic,strurw,44,0.12903225806451613,0.1290322580645161,2.7755575615628914e-17
T1_Nordic,strurw,45,0.22580645161290322,0.1290322580645161,0.09677419354838712
T1_Nordic,strurw,46,0.41935483870967744,0.1612903225806451,0.25806451612903236
T2_ON,dann_strurw,42,0.11411840532974354,0.0052000234610053,0.10891838186873824
T2_ON,dann_strurw,43,0.04024275207120809,0.0002160308661045,0.04002672120510359
T2_ON,dann_strurw,44,0.027344250811438542,0.0004697628609636,0.02687448795047494
T2_ON,dann_strurw,45,0.0038130470047690324,0.0860727091029922,-0.08225966209822316
T2_ON,dann_strurw,46,0.01824018209784602,0.0293887298803301,-0.01114854778248408
T2_ON,strurw,42,3.577671387438216e-05,7.930586955732603e-05,-4.3529155682943875e-05
T2_ON,strurw,43,0.0007827975577261448,0.000493445911494,0.0002893516462321448
T2_ON,strurw,44,0.0003386942109547819,0.0002806142234639,5.807998749088192e-05
T2_ON,strurw,45,0.00041544502456266247,0.0004231656573949,-7.720632832237527e-06
T2_ON,strurw,46,8.204184030062104e-06,5.709646578851609e-05,-4.889228175845399e-05
T2_PH,dann_strurw,42,0.5833333333333333,0.6666666666666667,-0.08333333333333348
T2_PH,dann_strurw,43,0.6458333333333334,0.625,0.02083333333333337
T2_PH,dann_strurw,44,0.9791666666666666,1.0,-0.02083333333333337
T2_PH,dann_strurw,45,0.5833333333333333,0.5416666666666666,0.04166666666666663
T2_PH,dann_strurw,46,0.9166666666666667,0.8958333333333333,0.02083333333333348
T2_PH,strurw,42,0.7916666666666667,0.8125,-0.02083333333333326
T2_PH,strurw,43,0.5833333333333334,0.6041666666666667,-0.02083333333333337
T2_PH,strurw,44,0.9166666666666667,0.8125,0.10416666666666674
T2_PH,strurw,45,0.3958333333333333,0.2708333333333333,0.125
T2_PH,strurw,46,0.75,0.7291666666666666,0.02083333333333337
T3_DiagnoseFrance,dann_strurw,42,1.0,1.0,0.0
T3_DiagnoseFrance,dann_strurw,43,0.9,0.91,-0.010000000000000009
T3_DiagnoseFrance,dann_strurw,44,0.9849999999999999,0.99,-0.0050000000000001155
T3_DiagnoseFrance,dann_strurw,45,0.9876543209876543,0.9753086419753086,0.012345679012345623
T3_DiagnoseFrance,dann_strurw,46,1.0,1.0,0.0
T3_DiagnoseFrance,strurw,42,1.0,0.9947368421052633,0.0052631578947367474
T3_DiagnoseFrance,strurw,43,0.925,0.98,-0.05499999999999994
T3_DiagnoseFrance,strurw,44,0.995,0.995,0.0
T3_DiagnoseFrance,strurw,45,0.962962962962963,0.9876543209876544,-0.024691358024691357
T3_DiagnoseFrance,strurw,46,1.0,0.995,0.0050000000000000044
