comparison_family,target_id,shot,n_pairs,mean_delta_vs_0shot,perm_p_two_sided,perm_p_one_sided,sign_test_p_two_sided,wilcoxon_exact_p,holm_reject_perm_two_sided,holm_reject_wilcoxon
P3_fewshot_vs_0shot,T1_Nordic,1,5,0.13548387096774195,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T1_Nordic,3,5,0.24516129032258066,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T1_Nordic,5,5,0.25161290322580643,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T1_Nordic,10,5,0.3870967741935484,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T2_ON,1,5,0.028109397864567853,0.5,0.25,0.375,0.625,False,False
P3_fewshot_vs_0shot,T2_ON,3,5,-0.059850648771037976,0.4375,0.21875,1.0,0.4375,False,False
P3_fewshot_vs_0shot,T2_ON,5,5,-0.08828934568513279,0.125,0.0625,0.375,0.125,False,False
P3_fewshot_vs_0shot,T2_ON,10,5,-0.15217264242407658,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T2_PH,1,5,0.16666666666666669,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T2_PH,3,5,0.30000000000000004,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T2_PH,5,5,0.29583333333333334,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T2_PH,10,5,0.3125,0.0625,0.03125,0.0625,0.0625,False,False
P3_fewshot_vs_0shot,T3_DiagnoseFrance,1,5,-0.027469135802469125,0.125,0.0625,0.125,0.125,False,False
P3_fewshot_vs_0shot,T3_DiagnoseFrance,3,5,-0.004491877842754999,1.0,0.5,1.0,1.0,False,False
P3_fewshot_vs_0shot,T3_DiagnoseFrance,5,5,-0.09983170890188431,0.875,0.4375,1.0,1.0,False,False
P3_fewshot_vs_0shot,T3_DiagnoseFrance,10,5,0.009641975308642015,0.5,0.25,0.5,0.3125,False,False
