comparison_family,transfer_id,method_a,method_b,n_pairs,mean_delta_a_minus_b,direction_aware_winner,perm_p_two_sided,perm_p_one_sided,sign_test_p_two_sided,wilcoxon_exact_p,holm_reject_perm_two_sided,holm_reject_wilcoxon
W7_method_pairwise,T1_Nordic,dann,dann_strurw,5,0.012903225806451613,dann,1.0,0.5,1.0,1.0,False,False
W7_method_pairwise,T1_Nordic,dann,source_only,5,0.06451612903225808,dann,0.375,0.1875,0.375,0.4375,False,False
W7_method_pairwise,T1_Nordic,dann,strurw,5,0.12903225806451615,dann,0.0625,0.03125,0.0625,0.0625,False,False
W7_method_pairwise,T1_Nordic,dann_strurw,source_only,5,0.05161290322580646,dann_strurw,0.25,0.125,0.375,0.1875,False,False
W7_method_pairwise,T1_Nordic,dann_strurw,strurw,5,0.11612903225806452,dann_strurw,0.125,0.0625,0.125,0.125,False,False
W7_method_pairwise,T1_Nordic,source_only,strurw,5,0.06451612903225808,source_only,0.375,0.1875,1.0,0.4375,False,False
W7_method_pairwise,T2_ON,dann,dann_strurw,5,0.335356043106489,dann_strurw,0.0625,0.03125,0.0625,0.0625,False,False
W7_method_pairwise,T2_ON,dann,source_only,5,0.05686580431322761,source_only,0.125,0.0625,0.375,0.125,False,False
W7_method_pairwise,T2_ON,dann,strurw,5,0.35935876871522837,strurw,0.0625,0.03125,0.0625,0.0625,False,False
W7_method_pairwise,T2_ON,dann_strurw,source_only,5,-0.2784902387932614,dann_strurw,0.0625,0.03125,0.0625,0.0625,False,False
W7_method_pairwise,T2_ON,dann_strurw,strurw,5,0.024002725608739412,strurw,0.1875,0.09375,0.375,0.1875,False,False
W7_method_pairwise,T2_ON,source_only,strurw,5,0.3024929644020008,strurw,0.0625,0.03125,0.0625,0.0625,False,False
W7_method_pairwise,T2_PH,dann,dann_strurw,5,-0.20833333333333334,dann_strurw,0.0625,0.03125,0.0625,0.0625,False,False
W7_method_pairwise,T2_PH,dann,source_only,5,-0.10416666666666666,source_only,0.125,0.0625,0.125,0.125,False,False
W7_method_pairwise,T2_PH,dann,strurw,5,-0.10833333333333336,strurw,0.1875,0.09375,0.375,0.1875,False,False
W7_method_pairwise,T2_PH,dann_strurw,source_only,5,0.1041666666666667,dann_strurw,0.5,0.25,1.0,0.4375,False,False
W7_method_pairwise,T2_PH,dann_strurw,strurw,5,0.09999999999999999,dann_strurw,0.1875,0.09375,0.375,0.1875,False,False
W7_method_pairwise,T2_PH,source_only,strurw,5,-0.004166666666666696,strurw,1.0,0.5,1.0,1.0,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann,dann_strurw,5,-0.0002345679012345725,dann_strurw,1.0,0.5,1.0,1.0,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann,source_only,5,-0.011296296296296271,source_only,0.75,0.375,1.0,0.8125,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann,strurw,5,-0.01565107212475636,strurw,0.4375,0.21875,1.0,0.625,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann_strurw,source_only,5,-0.011061728395061698,source_only,0.75,0.375,1.0,0.8125,False,False
W7_method_pairwise,T3_DiagnoseFrance,dann_strurw,strurw,5,-0.015416504223521787,strurw,0.4375,0.21875,1.0,0.625,False,False
W7_method_pairwise,T3_DiagnoseFrance,source_only,strurw,5,-0.004354775828460089,strurw,1.0,0.5,0.625,0.8125,False,False
