transfer_id,method_a,method_b,metric_direction,n_pairs,mean_delta_a_minus_b,ci95_low,ci95_high,bootstrap_p,holm_rank,holm_threshold,holm_adjusted_p,reject_holm
T1_Nordic,dann,strurw,higher_is_better,5,0.1290322580645161,0.0838709677419354,0.1741935483870968,0.0,1,0.0020833333333333333,0.0,True
T1_Nordic,dann_strurw,strurw,higher_is_better,5,0.1161290322580645,0.032258064516129,0.2,0.0002,7,0.002777777777777778,0.0036000000000000003,True
T1_Nordic,dann_strurw,source_only,higher_is_better,5,0.0516129032258064,2.220446049250313e-17,0.1161290322580645,0.034,11,0.0035714285714285718,0.47600000000000003,False
T1_Nordic,source_only,strurw,higher_is_better,5,0.064516129032258,-0.0258064516129032,0.1548387096774193,0.1986,16,0.005555555555555556,1.0,False
T1_Nordic,dann,source_only,higher_is_better,5,0.064516129032258,-0.0516129032258064,0.1741935483870968,0.3122,18,0.0071428571428571435,1.0,False
T1_Nordic,dann,dann_strurw,higher_is_better,5,0.0129032258064516,-0.1032258064516129,0.1161290322580645,0.8472,22,0.016666666666666666,1.0,False
T2_ON,dann,dann_strurw,lower_is_better,5,0.335356043106489,0.2799243305857402,0.3767282958259043,0.0,2,0.002173913043478261,0.0,True
T2_ON,dann_strurw,source_only,lower_is_better,5,-0.2784902387932614,-0.3418757050823278,-0.2151047725041948,0.0,3,0.002272727272727273,0.0,True
T2_ON,dann,strurw,lower_is_better,5,0.3593587687152283,0.3364786618651828,0.3787034465718276,0.0,4,0.002380952380952381,0.0,True
T2_ON,source_only,strurw,lower_is_better,5,0.3024929644020008,0.2556122438619819,0.3438870785121857,0.0,6,0.002631578947368421,0.0,True
T2_ON,dann,source_only,lower_is_better,5,0.0568658043132276,0.018085916378186,0.1031161228184845,0.0012,9,0.003125,0.0192,True
T2_ON,dann_strurw,strurw,lower_is_better,5,0.0240027256087394,0.0009888369551336,0.0572005697411887,0.011,10,0.0033333333333333335,0.16499999999999998,False
T2_PH,dann,dann_strurw,higher_is_better,5,-0.2083333333333333,-0.3625,-0.0875,0.0,5,0.0025,0.0,True
T2_PH,dann,source_only,higher_is_better,5,-0.1041666666666666,-0.1624999999999999,-0.0416666666666666,0.001,8,0.0029411764705882353,0.017,True
T2_PH,dann,strurw,higher_is_better,5,-0.1083333333333333,-0.2291666666666667,-0.0041666666666666,0.0432,12,0.0038461538461538464,0.5616,False
T2_PH,dann_strurw,strurw,higher_is_better,5,0.0999999999999999,-0.0291666666666666,0.2166666666666666,0.1296,13,0.004166666666666667,1.0,False
T2_PH,dann_strurw,source_only,higher_is_better,5,0.1041666666666667,-0.0666666666666666,0.2958333333333334,0.283,17,0.00625,1.0,False
T2_PH,source_only,strurw,higher_is_better,5,-0.0041666666666666,-0.1458333333333334,0.1291666666666666,0.971,24,0.05,1.0,False
T3_DiagnoseFrance,dann,strurw,higher_is_better,5,-0.0156510721247563,-0.0416510721247563,0.0031052631578947,0.1664,14,0.004545454545454546,1.0,False
T3_DiagnoseFrance,dann_strurw,strurw,higher_is_better,5,-0.0154165042235217,-0.0434691358024691,0.0031052631578947,0.1664,15,0.005,1.0,False
T3_DiagnoseFrance,dann,source_only,higher_is_better,5,-0.0112962962962962,-0.0419999999999999,0.0101111111111111,0.5202,19,0.008333333333333333,1.0,False
T3_DiagnoseFrance,dann_strurw,source_only,higher_is_better,5,-0.0110617283950616,-0.0449999999999999,0.0138148148148148,0.5244,20,0.01,1.0,False
T3_DiagnoseFrance,source_only,strurw,higher_is_better,5,-0.00435477582846,-0.0211695906432749,0.0051052631578947,0.6452,21,0.0125,1.0,False
T3_DiagnoseFrance,dann,dann_strurw,higher_is_better,5,-0.0002345679012345,-0.0037037037037037,0.003,0.864,23,0.025,1.0,False
