transfer_id,seed,target_test_size,overlap_with_tau_selection_val,overlap_with_tau_selection_train,overlap_with_tau_selection_test,source_val_size,source_val_overlap_with_tau_selection_val,source_train_size,source_train_overlap_with_tau_selection_val,is_posthoc
T1_Nordic,42,31,4,19,8,20,5,80,13,True
T1_Nordic,43,31,4,24,3,20,2,80,16,True
T1_Nordic,44,31,4,21,6,20,3,80,15,True
T1_Nordic,45,31,4,19,8,20,1,80,17,True
T1_Nordic,46,31,0,27,4,20,6,80,12,True
T2_ON,42,24,3,18,3,62,10,263,47,True
T2_ON,43,24,0,21,3,64,10,261,47,True
T2_ON,44,24,2,18,4,67,9,258,48,True
T2_ON,45,24,3,19,2,66,9,259,48,True
T2_ON,46,24,2,17,5,62,8,263,49,True
T2_PH,42,14,2,11,1,62,10,263,47,True
T2_PH,43,14,2,10,2,64,10,261,47,True
T2_PH,44,14,1,10,3,67,9,258,48,True
T2_PH,45,14,1,10,3,66,9,259,48,True
T2_PH,46,14,1,10,3,62,8,263,49,True
T3_DiagnoseFrance,42,29,2,25,2,15,7,58,5,True
T3_DiagnoseFrance,43,30,3,21,6,15,2,58,10,True
T3_DiagnoseFrance,44,30,3,23,4,15,2,58,10,True
T3_DiagnoseFrance,45,27,2,22,3,15,2,58,10,True
T3_DiagnoseFrance,46,30,3,21,6,15,3,58,9,True
