check,status,detail
required:README.md,pass,README.md
required:.gitignore,pass,.gitignore
required:.gitattributes,pass,.gitattributes
required:DATA_AVAILABILITY.md,pass,DATA_AVAILABILITY.md
required:REPRODUCIBILITY.md,pass,REPRODUCIBILITY.md
required:SECURITY.md,pass,SECURITY.md
required:CITATION.cff,pass,CITATION.cff
required:reports/Week11_Final_Experiment_Report.docx,pass,reports/Week11_Final_Experiment_Report.docx
required:reports/week11_final/Week11_Final_Experiment_Report.md,pass,reports/week11_final/Week11_Final_Experiment_Report.md
required:results/week11/metrics/week11_acceptance_audit.csv,pass,results/week11/metrics/week11_acceptance_audit.csv
required:results/week10/metrics/final_rq_evidence_table.csv,pass,results/week10/metrics/final_rq_evidence_table.csv
required:results/week9/metrics/W9_E1_fewshot_curve.csv,pass,results/week9/metrics/W9_E1_fewshot_curve.csv
required:results/week9/metrics/week9_fewshot_rollup.csv,pass,results/week9/metrics/week9_fewshot_rollup.csv
no_banned_public_files,pass,
no_confusing_legacy_main_files,pass,
no_file_over_5mb,pass,
readme_links_exist,pass,
