task,seed,jurisdiction,fold,split,num_rows,num_groups,licensed_baseline,illegal_single,illegal_cross_verified,label_0,label_1
same_region_sensitivity,,Belgium,1,test,14,14,6,8,0,6,8
same_region_sensitivity,,Belgium,1,train,44,44,18,26,0,18,26
same_region_sensitivity,,Belgium,1,val,11,11,5,6,0,5,6
same_region_sensitivity,,Belgium,1,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Belgium,2,test,14,14,6,8,0,6,8
same_region_sensitivity,,Belgium,2,train,44,44,18,26,0,18,26
same_region_sensitivity,,Belgium,2,val,11,11,5,6,0,5,6
same_region_sensitivity,,Belgium,2,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Belgium,3,test,14,14,6,8,0,6,8
same_region_sensitivity,,Belgium,3,train,44,44,18,26,0,18,26
same_region_sensitivity,,Belgium,3,val,11,11,5,6,0,5,6
same_region_sensitivity,,Belgium,3,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Belgium,4,test,14,14,5,9,0,5,9
same_region_sensitivity,,Belgium,4,train,44,44,19,25,0,19,25
same_region_sensitivity,,Belgium,4,val,11,11,5,6,0,5,6
same_region_sensitivity,,Belgium,4,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Belgium,5,test,13,13,6,7,0,6,7
same_region_sensitivity,,Belgium,5,train,44,44,18,26,0,18,26
same_region_sensitivity,,Belgium,5,val,12,12,5,7,0,5,7
same_region_sensitivity,,Belgium,5,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,France,1,test,15,13,5,10,0,5,10
same_region_sensitivity,,France,1,train,45,40,15,30,0,15,30
same_region_sensitivity,,France,1,val,12,10,4,8,0,4,8
same_region_sensitivity,,France,1,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,France,2,test,15,13,5,10,0,5,10
same_region_sensitivity,,France,2,train,46,40,15,31,0,15,31
same_region_sensitivity,,France,2,val,11,10,4,7,0,4,7
same_region_sensitivity,,France,2,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,France,3,test,14,12,5,9,0,5,9
same_region_sensitivity,,France,3,train,46,40,15,31,0,15,31
same_region_sensitivity,,France,3,val,12,11,4,8,0,4,8
same_region_sensitivity,,France,3,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,France,4,test,14,12,4,10,0,4,10
same_region_sensitivity,,France,4,train,47,40,16,31,0,16,31
same_region_sensitivity,,France,4,val,11,11,4,7,0,4,7
same_region_sensitivity,,France,4,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,France,5,test,14,13,5,9,0,5,9
same_region_sensitivity,,France,5,train,46,40,15,31,0,15,31
same_region_sensitivity,,France,5,val,12,10,4,8,0,4,8
same_region_sensitivity,,France,5,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Philippines,1,test,7,5,4,3,0,4,3
same_region_sensitivity,,Philippines,1,train,19,16,11,8,0,11,8
same_region_sensitivity,,Philippines,1,val,7,5,4,3,0,4,3
same_region_sensitivity,,Philippines,1,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Philippines,2,test,7,5,4,3,0,4,3
same_region_sensitivity,,Philippines,2,train,19,16,11,8,0,11,8
same_region_sensitivity,,Philippines,2,val,7,5,4,3,0,4,3
same_region_sensitivity,,Philippines,2,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Philippines,3,test,7,6,4,3,0,4,3
same_region_sensitivity,,Philippines,3,train,21,16,12,9,0,12,9
same_region_sensitivity,,Philippines,3,val,5,4,3,2,0,3,2
same_region_sensitivity,,Philippines,3,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Philippines,4,test,6,5,4,2,0,4,2
same_region_sensitivity,,Philippines,4,train,20,16,11,9,0,11,9
same_region_sensitivity,,Philippines,4,val,7,5,4,3,0,4,3
same_region_sensitivity,,Philippines,4,__group_overlap_audit__,0,0,0,0,0,0,0
same_region_sensitivity,,Philippines,5,test,6,5,3,3,0,3,3
same_region_sensitivity,,Philippines,5,train,22,16,13,9,0,13,9
same_region_sensitivity,,Philippines,5,val,5,5,3,2,0,3,2
same_region_sensitivity,,Philippines,5,__group_overlap_audit__,0,0,0,0,0,0,0
