task,model,created_at_utc,roc_auc,pr_auc,balanced_accuracy,macro_f1,threshold,val_roc_auc,seed,fold,jurisdiction_eval
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:37.145291+00:00,0.9166666666666667,0.9317956349206349,0.8333333333333333,0.8444444444444444,0.5212130546569824,1.0,43,1,Belgium
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:40.010810+00:00,0.8541666666666667,0.8338789682539683,0.9166666666666667,0.9251336898395721,0.5788649320602417,1.0,44,2,Belgium
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:41.626947+00:00,1.0,1.0,0.625,0.5333333333333333,0.5734834671020508,0.9666666666666668,45,3,Belgium
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:43.242838+00:00,1.0,1.0000000000000002,0.8888888888888888,0.8541666666666667,0.5186326503753662,1.0,46,4,Belgium
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:44.800166+00:00,0.7142857142857143,0.7858070500927643,0.5238095238095238,0.5125,0.5329793095588684,1.0,47,5,Belgium
same_region_sensitivity,logistic_regression,2026-04-24T07:18:31.862955+00:00,0.9791666666666667,0.9861111111111112,0.875,0.8571428571428571,0.7079406168700869,1.0,43,1,Belgium
same_region_sensitivity,logistic_regression,2026-04-24T07:18:37.271215+00:00,1.0,1.0,0.9166666666666667,0.9251336898395721,0.1738274939891947,1.0,44,2,Belgium
same_region_sensitivity,logistic_regression,2026-04-24T07:18:40.051980+00:00,1.0,1.0,0.9375,0.9282051282051282,0.5601063930982715,1.0,45,3,Belgium
same_region_sensitivity,logistic_regression,2026-04-24T07:18:41.666505+00:00,1.0,1.0,0.9444444444444444,0.9251336898395721,0.7710835665380702,1.0,46,4,Belgium
same_region_sensitivity,logistic_regression,2026-04-24T07:18:43.280210+00:00,0.8452380952380952,0.9136577708006279,0.8571428571428572,0.8452380952380952,0.41981767800219827,1.0,47,5,Belgium
same_region_sensitivity,mlp,2026-04-24T07:18:32.544205+00:00,0.9375,0.9526289682539683,0.8333333333333333,0.8444444444444444,0.5267270803451538,1.0,43,1,Belgium
same_region_sensitivity,mlp,2026-04-24T07:18:38.250045+00:00,0.9166666666666667,0.9317956349206349,0.7916666666666667,0.7846153846153847,0.49351510405540466,0.9333333333333333,44,2,Belgium
same_region_sensitivity,mlp,2026-04-24T07:18:40.264289+00:00,1.0,1.0,0.6666666666666666,0.65,0.4848659932613373,0.9333333333333333,45,3,Belgium
same_region_sensitivity,mlp,2026-04-24T07:18:41.976693+00:00,1.0,1.0,1.0,1.0,0.46138688921928406,1.0,46,4,Belgium
same_region_sensitivity,mlp,2026-04-24T07:18:43.508659+00:00,0.9404761904761905,0.9379251700680271,0.7738095238095238,0.7692307692307693,0.49271997809410095,1.0,47,5,Belgium
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:46.641093+00:00,0.68,0.8274450549450548,0.7,0.7,0.5149197578430176,1.0,43,1,France
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:49.978073+00:00,1.0,0.9999999999999999,1.0,1.0,0.6688734292984009,0.8928571428571428,44,2,France
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:51.606219+00:00,0.9777777777777779,0.9888888888888892,0.8888888888888888,0.8541666666666667,0.5158059597015381,1.0,45,3,France
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:53.081255+00:00,1.0,0.9999999999999999,0.75,0.641025641025641,0.5242787599563599,1.0,46,4,France
same_region_sensitivity,hetero_gnn,2026-04-24T07:18:54.553413+00:00,0.6888888888888889,0.8223375390042058,0.6888888888888889,0.6888888888888889,0.5594593286514282,1.0,47,5,France
same_region_sensitivity,logistic_regression,2026-04-24T07:18:45.266304+00:00,1.0,0.9999999999999999,0.9,0.9206349206349206,0.5458190587523267,1.0,43,1,France
same_region_sensitivity,logistic_regression,2026-04-24T07:18:46.679984+00:00,1.0,0.9999999999999999,1.0,1.0,0.4860086766983403,0.8571428571428571,44,2,France
same_region_sensitivity,logistic_regression,2026-04-24T07:18:50.017491+00:00,0.9777777777777779,0.9888888888888889,0.8888888888888888,0.8541666666666667,0.7971473519669814,1.0,45,3,France
same_region_sensitivity,logistic_regression,2026-04-24T07:18:51.644117+00:00,1.0,0.9999999999999999,0.55,0.3262032085561497,0.9280264908648351,1.0,46,4,France
