task,seed,jurisdiction,fold,split,num_rows,num_groups,licensed_baseline,illegal_single,illegal_cross_verified,label_0,label_1
pooled_primary_finetune,42,,,test,74,71,41,28,5,41,33
pooled_primary_finetune,42,,,train,346,327,192,130,24,192,154
pooled_primary_finetune,42,,,val,73,70,42,27,4,42,31
pooled_primary_finetune,42,,,__group_overlap_audit__,0,0,0,0,0,0,0
pooled_primary_finetune,43,,,test,77,71,43,29,5,43,34
pooled_primary_finetune,43,,,train,342,327,191,128,23,191,151
pooled_primary_finetune,43,,,val,74,70,41,28,5,41,33
pooled_primary_finetune,43,,,__group_overlap_audit__,0,0,0,0,0,0,0
pooled_primary_finetune,44,,,test,71,71,40,27,4,40,31
pooled_primary_finetune,44,,,train,349,327,194,131,24,194,155
pooled_primary_finetune,44,,,val,73,70,41,27,5,41,32
pooled_primary_finetune,44,,,__group_overlap_audit__,0,0,0,0,0,0,0
pooled_primary_finetune,45,,,test,78,71,43,29,6,43,35
pooled_primary_finetune,45,,,train,342,327,192,127,23,192,150
pooled_primary_finetune,45,,,val,73,70,40,29,4,40,33
pooled_primary_finetune,45,,,__group_overlap_audit__,0,0,0,0,0,0,0
pooled_primary_finetune,46,,,test,76,71,43,29,4,43,33
pooled_primary_finetune,46,,,train,347,327,193,129,25,193,154
pooled_primary_finetune,46,,,val,70,70,39,27,4,39,31
pooled_primary_finetune,46,,,__group_overlap_audit__,0,0,0,0,0,0,0
