task,model,head_type,seed,schema_attention_mean,metapath_attention_mean,schema_attention_std,metapath_attention_std,schema_attention_min,schema_attention_max,attention_collapse_flag
head_ablation,heco_attention_head,attention,42,0.7380791902542114,0.2619208097457886,0.14131712913513184,0.14131712913513184,0.28531184792518616,0.9956130981445312,False
head_ablation,heco_attention_head,attention,43,0.4686689078807831,0.5313310623168945,0.08392071723937988,0.08392072468996048,0.24796970188617706,0.691277027130127,False
head_ablation,heco_attention_head,attention,44,0.7825950980186462,0.21740488708019257,0.10056179761886597,0.10056180506944656,0.4384962022304535,0.9591324329376221,False
head_ablation,heco_attention_head,attention,45,0.8301597833633423,0.16984018683433533,0.2521965205669403,0.2521965205669403,0.0026276521384716034,0.9999603033065796,False
head_ablation,heco_attention_head,attention,46,0.6931165456771851,0.30688348412513733,0.06678736209869385,0.06678736209869385,0.5881381630897522,0.8748347759246826,False
head_ablation,heco_mlp_64_head,mlp_64,42,,,,,,,False
head_ablation,heco_mlp_64_head,mlp_64,43,,,,,,,False
head_ablation,heco_mlp_64_head,mlp_64,44,,,,,,,False
head_ablation,heco_mlp_64_head,mlp_64,45,,,,,,,False
head_ablation,heco_mlp_64_head,mlp_64,46,,,,,,,False
head_ablation,heco_linear_head,linear,42,,,,,,,False
head_ablation,heco_linear_head,linear,43,,,,,,,False
head_ablation,heco_linear_head,linear,44,,,,,,,False
head_ablation,heco_linear_head,linear,45,,,,,,,False
head_ablation,heco_linear_head,linear,46,,,,,,,False
head_ablation,heco_fixed_mean_head,fixed_mean,42,0.5,0.5,0.0,0.0,0.5,0.5,False
head_ablation,heco_fixed_mean_head,fixed_mean,43,0.5,0.5,0.0,0.0,0.5,0.5,False
head_ablation,heco_fixed_mean_head,fixed_mean,44,0.5,0.5,0.0,0.0,0.5,0.5,False
head_ablation,heco_fixed_mean_head,fixed_mean,45,0.5,0.5,0.0,0.0,0.5,0.5,False
head_ablation,heco_fixed_mean_head,fixed_mean,46,0.5,0.5,0.0,0.0,0.5,0.5,False
head_ablation,heco_schema_only_head,schema_only,42,1.0,0.0,0.0,0.0,1.0,1.0,True
head_ablation,heco_schema_only_head,schema_only,43,1.0,0.0,0.0,0.0,1.0,1.0,True
head_ablation,heco_schema_only_head,schema_only,44,1.0,0.0,0.0,0.0,1.0,1.0,True
head_ablation,heco_schema_only_head,schema_only,45,1.0,0.0,0.0,0.0,1.0,1.0,True
head_ablation,heco_schema_only_head,schema_only,46,1.0,0.0,0.0,0.0,1.0,1.0,True
head_ablation,heco_metapath_only_head,metapath_only,42,0.0,1.0,0.0,0.0,0.0,0.0,True
head_ablation,heco_metapath_only_head,metapath_only,43,0.0,1.0,0.0,0.0,0.0,0.0,True
head_ablation,heco_metapath_only_head,metapath_only,44,0.0,1.0,0.0,0.0,0.0,0.0,True
head_ablation,heco_metapath_only_head,metapath_only,45,0.0,1.0,0.0,0.0,0.0,0.0,True
head_ablation,heco_metapath_only_head,metapath_only,46,0.0,1.0,0.0,0.0,0.0,0.0,True
