seed,temperature,encoder_checkpoint,encoder_source,head_type
42,0.7,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,existing_checkpoint,attention
43,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,existing_checkpoint,attention
44,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,existing_checkpoint,attention
45,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,existing_checkpoint,attention
46,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,existing_checkpoint,attention
42,0.7,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,existing_checkpoint,mlp_64
43,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,existing_checkpoint,mlp_64
44,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,existing_checkpoint,mlp_64
45,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,existing_checkpoint,mlp_64
46,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,existing_checkpoint,mlp_64
42,0.7,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,existing_checkpoint,linear
43,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,existing_checkpoint,linear
44,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,existing_checkpoint,linear
45,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,existing_checkpoint,linear
46,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,existing_checkpoint,linear
42,0.7,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,existing_checkpoint,fixed_mean
43,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,existing_checkpoint,fixed_mean
44,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,existing_checkpoint,fixed_mean
45,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,existing_checkpoint,fixed_mean
46,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,existing_checkpoint,fixed_mean
42,0.7,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,existing_checkpoint,schema_only
43,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,existing_checkpoint,schema_only
44,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,existing_checkpoint,schema_only
45,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,existing_checkpoint,schema_only
46,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,existing_checkpoint,schema_only
42,0.7,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,existing_checkpoint,metapath_only
43,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,existing_checkpoint,metapath_only
44,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,existing_checkpoint,metapath_only
45,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,existing_checkpoint,metapath_only
46,0.7,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,existing_checkpoint,metapath_only
