task,seed,jurisdiction,fold,split,num_rows,num_groups,licensed_baseline,illegal_single,illegal_cross_verified,label_0,label_1
head_ablation,42,,,test,74,71,41,28,5,41,33
head_ablation,42,,,train,346,327,192,130,24,192,154
head_ablation,42,,,val,73,70,42,27,4,42,31
head_ablation,42,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,43,,,test,77,71,43,29,5,43,34
head_ablation,43,,,train,342,327,191,128,23,191,151
head_ablation,43,,,val,74,70,41,28,5,41,33
head_ablation,43,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,44,,,test,71,71,40,27,4,40,31
head_ablation,44,,,train,349,327,194,131,24,194,155
head_ablation,44,,,val,73,70,41,27,5,41,32
head_ablation,44,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,45,,,test,78,71,43,29,6,43,35
head_ablation,45,,,train,342,327,192,127,23,192,150
head_ablation,45,,,val,73,70,40,29,4,40,33
head_ablation,45,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,46,,,test,76,71,43,29,4,43,33
head_ablation,46,,,train,347,327,193,129,25,193,154
head_ablation,46,,,val,70,70,39,27,4,39,31
head_ablation,46,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,42,,,test,74,71,41,28,5,41,33
head_ablation,42,,,train,346,327,192,130,24,192,154
head_ablation,42,,,val,73,70,42,27,4,42,31
head_ablation,42,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,43,,,test,77,71,43,29,5,43,34
head_ablation,43,,,train,342,327,191,128,23,191,151
head_ablation,43,,,val,74,70,41,28,5,41,33
head_ablation,43,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,44,,,test,71,71,40,27,4,40,31
head_ablation,44,,,train,349,327,194,131,24,194,155
head_ablation,44,,,val,73,70,41,27,5,41,32
head_ablation,44,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,45,,,test,78,71,43,29,6,43,35
head_ablation,45,,,train,342,327,192,127,23,192,150
head_ablation,45,,,val,73,70,40,29,4,40,33
head_ablation,45,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,46,,,test,76,71,43,29,4,43,33
head_ablation,46,,,train,347,327,193,129,25,193,154
head_ablation,46,,,val,70,70,39,27,4,39,31
head_ablation,46,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,42,,,test,74,71,41,28,5,41,33
head_ablation,42,,,train,346,327,192,130,24,192,154
head_ablation,42,,,val,73,70,42,27,4,42,31
head_ablation,42,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,43,,,test,77,71,43,29,5,43,34
head_ablation,43,,,train,342,327,191,128,23,191,151
head_ablation,43,,,val,74,70,41,28,5,41,33
head_ablation,43,,,__group_overlap_audit__,0,0,0,0,0,0,0
head_ablation,44,,,test,71,71,40,27,4,40,31
head_ablation,44,,,train,349,327,194,131,24,194,155
head_ablation,44,,,val,73,70,41,27,5,41,32
head_ablation,44,,,__group_overlap_audit__,0,0,0,0,0,0,0
