iteration,relation,source_edges_reweighted,multiplier_min,multiplier_mean,multiplier_max,edge_weight_min,edge_weight_mean,edge_weight_max,clip_min,clip_max,target_observed_pairs,transfer_id,method,seed
1,hosted_on,249,0.5555555555555556,1.4126447309706662,5.0,0.4418327510356903,0.8183704614639282,2.397895336151123,0.1,10.0,4.0,T1_Nordic,strurw,42
1,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,strurw,42
1,uses_ns,268,0.296979006656426,2.009928041189193,10.0,0.26003772020339966,0.7455516457557678,2.397895336151123,0.1,10.0,48.0,T1_Nordic,strurw,42
1,registered_via,38,0.25146198830409355,1.3736928916984321,10.0,0.2243124544620514,0.6759841442108154,2.397895336151123,0.1,10.0,34.0,T1_Nordic,strurw,42
1,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,strurw,42
2,hosted_on,249,0.5555555555555556,1.4126447309706662,5.0,0.2689899504184723,0.8514575958251953,3.931825637817383,0.1,10.0,4.0,T1_Nordic,strurw,42
2,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,strurw,42
2,uses_ns,268,0.13333333333333333,1.2848063828323821,7.7333333333333325,0.14734508097171783,0.7529503107070923,4.360973358154297,0.1,10.0,48.0,T1_Nordic,strurw,42
2,registered_via,38,0.5029239766081871,1.1714373653431824,10.0,0.11908552795648575,0.6850874423980713,4.6151204109191895,0.1,10.0,20.0,T1_Nordic,strurw,42
2,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,strurw,42
1,hosted_on,249,0.5555555555555556,1.4126447309706662,5.0,0.4418327510356903,0.8183704614639282,2.397895336151123,0.1,10.0,4.0,T1_Nordic,dann_strurw,42
1,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,dann_strurw,42
1,uses_ns,268,0.296979006656426,2.009928041189193,10.0,0.26003772020339966,0.7455516457557678,2.397895336151123,0.1,10.0,48.0,T1_Nordic,dann_strurw,42
1,registered_via,38,0.25146198830409355,1.3736928916984321,10.0,0.2243124544620514,0.6759841442108154,2.397895336151123,0.1,10.0,34.0,T1_Nordic,dann_strurw,42
1,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,dann_strurw,42
2,hosted_on,249,0.5555555555555556,1.4126447309706662,5.0,0.2689899504184723,0.8514575958251953,3.931825637817383,0.1,10.0,4.0,T1_Nordic,dann_strurw,42
2,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,dann_strurw,42
2,uses_ns,268,0.13333333333333333,1.2848063828323821,7.7333333333333325,0.14734508097171783,0.7529503107070923,4.360973358154297,0.1,10.0,48.0,T1_Nordic,dann_strurw,42
2,registered_via,38,0.5029239766081871,1.1714373653431824,10.0,0.11908552795648575,0.6850874423980713,4.6151204109191895,0.1,10.0,20.0,T1_Nordic,dann_strurw,42
2,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,dann_strurw,42
1,hosted_on,249,0.9259259259259259,1.1211082145345515,1.6666666666666665,0.6554068326950073,0.8021572828292847,1.6094379425048828,0.1,10.0,8.0,T1_Nordic,strurw,43
1,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,strurw,43
1,uses_ns,268,0.5294117647058824,1.6982362709166479,3.666666666666667,0.4248831868171692,0.7420655488967896,1.6479042768478394,0.1,10.0,72.0,T1_Nordic,strurw,43
1,registered_via,38,0.8641975308641976,1.248440445224976,3.017543859649123,0.6228306889533997,0.7069659233093262,1.3906707763671875,0.1,10.0,36.0,T1_Nordic,strurw,43
1,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,strurw,43
2,hosted_on,249,0.5555555555555556,1.4126447309706662,5.0,0.41502147912979126,0.830601692199707,2.8716795444488525,0.1,10.0,4.0,T1_Nordic,strurw,43
2,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,strurw,43
2,uses_ns,268,0.6363835856923414,1.6286548386005024,6.26031746031746,0.3443501591682434,0.7897262573242188,2.996703863143921,0.1,10.0,88.0,T1_Nordic,strurw,43
2,registered_via,38,0.5185185185185185,1.8165076433774499,10.0,0.3702540397644043,0.7250394225120544,3.4396305084228516,0.1,10.0,50.0,T1_Nordic,strurw,43
2,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,strurw,43
1,hosted_on,249,0.9259259259259259,1.1211082145345515,1.6666666666666665,0.6554068326950073,0.8021572828292847,1.6094379425048828,0.1,10.0,8.0,T1_Nordic,dann_strurw,43
1,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,dann_strurw,43
1,uses_ns,268,0.5294117647058824,1.6982362709166479,3.666666666666667,0.4248831868171692,0.7420655488967896,1.6479042768478394,0.1,10.0,72.0,T1_Nordic,dann_strurw,43
1,registered_via,38,0.8641975308641976,1.248440445224976,3.017543859649123,0.6228306889533997,0.7069659233093262,1.3906707763671875,0.1,10.0,36.0,T1_Nordic,dann_strurw,43
1,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,dann_strurw,43
2,hosted_on,249,0.5555555555555556,1.4126447309706662,5.0,0.41502147912979126,0.830601692199707,2.8716795444488525,0.1,10.0,4.0,T1_Nordic,dann_strurw,43
2,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,dann_strurw,43
2,uses_ns,268,0.6363835856923414,1.6286548386005024,6.26031746031746,0.3443501591682434,0.7897262573242188,2.996703863143921,0.1,10.0,88.0,T1_Nordic,dann_strurw,43
2,registered_via,38,0.5185185185185185,1.8165076433774499,10.0,0.3702540397644043,0.7250394225120544,3.4396305084228516,0.1,10.0,50.0,T1_Nordic,dann_strurw,43
2,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,dann_strurw,43
1,hosted_on,249,0.23809523809523808,1.6869740169254013,3.666666666666667,0.2135740965604782,0.8330539464950562,1.6573923826217651,0.1,10.0,40.0,T1_Nordic,strurw,44
1,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,strurw,44
1,uses_ns,268,0.42016806722689076,1.7727238639565663,4.2857142857142865,0.35077521204948425,0.7443182468414307,1.7414976358413696,0.1,10.0,72.0,T1_Nordic,strurw,44
1,registered_via,38,0.7777777777777778,1.4105039312795549,4.389154704944179,0.5753641724586487,0.7111536860466003,1.684388518333435,0.1,10.0,22.0,T1_Nordic,strurw,44
1,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,strurw,44
2,hosted_on,249,0.23809523809523808,1.6869740169254013,3.666666666666667,0.05514075607061386,0.8903395533561707,2.6703100204467773,0.1,10.0,40.0,T1_Nordic,strurw,44
2,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,strurw,44
2,uses_ns,268,0.42016806722689076,1.7727238639565663,4.2857142857142865,0.16257894039154053,0.808281421661377,2.9635884761810303,0.1,10.0,72.0,T1_Nordic,strurw,44
2,registered_via,38,0.7777777777777778,1.4105039312795549,4.389154704944179,0.47308531403541565,0.7354815602302551,3.0088794231414795,0.1,10.0,22.0,T1_Nordic,strurw,44
2,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,strurw,44
1,hosted_on,249,0.23809523809523808,1.6869740169254013,3.666666666666667,0.2135740965604782,0.8330539464950562,1.6573923826217651,0.1,10.0,40.0,T1_Nordic,dann_strurw,44
1,uses_cert,88,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T1_Nordic,dann_strurw,44
1,uses_ns,268,0.42016806722689076,1.7727238639565663,4.2857142857142865,0.35077521204948425,0.7443182468414307,1.7414976358413696,0.1,10.0,72.0,T1_Nordic,dann_strurw,44
1,registered_via,38,0.7777777777777778,1.4105039312795549,4.389154704944179,0.5753641724586487,0.7111536860466003,1.684388518333435,0.1,10.0,22.0,T1_Nordic,dann_strurw,44
1,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T1_Nordic,dann_strurw,44
