transfer_id,seed,split,domain_role,num_rows,num_groups,licensed_baseline,illegal_single,illegal_cross_verified,label_0,label_1
T1_Nordic,42,source_train,source,80,80,53,27,0,53,27
T1_Nordic,42,source_val,source,20,20,13,7,0,13,7
T1_Nordic,42,target_adapt_unlabeled,target,46,46,0,26,20,0,46
T1_Nordic,42,target_test,target,31,31,0,18,13,0,31
T1_Nordic,42,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T1_Nordic,42,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T1_Nordic,43,source_train,source,80,80,53,27,0,53,27
T1_Nordic,43,source_val,source,20,20,13,7,0,13,7
T1_Nordic,43,target_adapt_unlabeled,target,46,46,0,26,20,0,46
T1_Nordic,43,target_test,target,31,31,0,18,13,0,31
T1_Nordic,43,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T1_Nordic,43,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T1_Nordic,44,source_train,source,80,80,53,27,0,53,27
T1_Nordic,44,source_val,source,20,20,13,7,0,13,7
T1_Nordic,44,target_adapt_unlabeled,target,46,46,0,26,20,0,46
T1_Nordic,44,target_test,target,31,31,0,18,13,0,31
T1_Nordic,44,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T1_Nordic,44,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T1_Nordic,45,source_train,source,80,80,53,27,0,53,27
T1_Nordic,45,source_val,source,20,20,13,7,0,13,7
T1_Nordic,45,target_adapt_unlabeled,target,46,46,0,26,20,0,46
T1_Nordic,45,target_test,target,31,31,0,18,13,0,31
T1_Nordic,45,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T1_Nordic,45,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T1_Nordic,46,source_train,source,80,80,53,27,0,53,27
T1_Nordic,46,source_val,source,20,20,13,7,0,13,7
T1_Nordic,46,target_adapt_unlabeled,target,46,46,0,26,20,0,46
T1_Nordic,46,target_test,target,31,31,0,18,13,0,31
T1_Nordic,46,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T1_Nordic,46,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_PH,42,source_train,source,263,245,160,103,0,160,103
T2_PH,42,source_val,source,62,62,38,24,0,38,24
T2_PH,42,target_adapt_unlabeled,target,19,15,11,8,0,11,8
T2_PH,42,target_test,target,14,11,8,6,0,8,6
T2_PH,42,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_PH,42,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_PH,43,source_train,source,261,245,159,102,0,159,102
T2_PH,43,source_val,source,64,62,39,25,0,39,25
T2_PH,43,target_adapt_unlabeled,target,19,15,11,8,0,11,8
T2_PH,43,target_test,target,14,11,8,6,0,8,6
T2_PH,43,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_PH,43,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_PH,44,source_train,source,258,245,157,101,0,157,101
T2_PH,44,source_val,source,67,62,41,26,0,41,26
T2_PH,44,target_adapt_unlabeled,target,19,15,11,8,0,11,8
T2_PH,44,target_test,target,14,11,8,6,0,8,6
T2_PH,44,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_PH,44,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_PH,45,source_train,source,259,245,158,101,0,158,101
T2_PH,45,source_val,source,66,62,40,26,0,40,26
T2_PH,45,target_adapt_unlabeled,target,19,15,11,8,0,11,8
T2_PH,45,target_test,target,14,11,8,6,0,8,6
T2_PH,45,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_PH,45,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_PH,46,source_train,source,263,245,160,103,0,160,103
T2_PH,46,source_val,source,62,62,38,24,0,38,24
T2_PH,46,target_adapt_unlabeled,target,19,15,11,8,0,11,8
T2_PH,46,target_test,target,14,11,8,6,0,8,6
T2_PH,46,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_PH,46,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_ON,42,source_train,source,263,245,160,103,0,160,103
T2_ON,42,source_val,source,62,62,38,24,0,38,24
T2_ON,42,target_adapt_unlabeled,target,34,34,34,0,0,34,0
T2_ON,42,target_test,target,24,24,24,0,0,24,0
T2_ON,42,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_ON,42,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_ON,43,source_train,source,261,245,159,102,0,159,102
T2_ON,43,source_val,source,64,62,39,25,0,39,25
T2_ON,43,target_adapt_unlabeled,target,34,34,34,0,0,34,0
T2_ON,43,target_test,target,24,24,24,0,0,24,0
T2_ON,43,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_ON,43,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_ON,44,source_train,source,258,245,157,101,0,157,101
T2_ON,44,source_val,source,67,62,41,26,0,41,26
T2_ON,44,target_adapt_unlabeled,target,34,34,34,0,0,34,0
T2_ON,44,target_test,target,24,24,24,0,0,24,0
T2_ON,44,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_ON,44,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_ON,45,source_train,source,259,245,158,101,0,158,101
T2_ON,45,source_val,source,66,62,40,26,0,40,26
T2_ON,45,target_adapt_unlabeled,target,34,34,34,0,0,34,0
T2_ON,45,target_test,target,24,24,24,0,0,24,0
T2_ON,45,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_ON,45,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T2_ON,46,source_train,source,263,245,160,103,0,160,103
T2_ON,46,source_val,source,62,62,38,24,0,38,24
T2_ON,46,target_adapt_unlabeled,target,34,34,34,0,0,34,0
T2_ON,46,target_test,target,24,24,24,0,0,24,0
T2_ON,46,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T2_ON,46,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T3_DiagnoseFrance,42,source_train,source,58,58,31,27,0,31,27
T3_DiagnoseFrance,42,source_val,source,15,15,8,7,0,8,7
T3_DiagnoseFrance,42,target_adapt_unlabeled,target,43,37,14,29,0,14,29
T3_DiagnoseFrance,42,target_test,target,29,26,10,19,0,10,19
T3_DiagnoseFrance,42,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T3_DiagnoseFrance,42,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T3_DiagnoseFrance,43,source_train,source,58,58,31,27,0,31,27
T3_DiagnoseFrance,43,source_val,source,15,15,8,7,0,8,7
T3_DiagnoseFrance,43,target_adapt_unlabeled,target,42,37,14,28,0,14,28
T3_DiagnoseFrance,43,target_test,target,30,26,10,20,0,10,20
T3_DiagnoseFrance,43,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T3_DiagnoseFrance,43,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T3_DiagnoseFrance,44,source_train,source,58,58,31,27,0,31,27
T3_DiagnoseFrance,44,source_val,source,15,15,8,7,0,8,7
T3_DiagnoseFrance,44,target_adapt_unlabeled,target,42,37,14,28,0,14,28
T3_DiagnoseFrance,44,target_test,target,30,26,10,20,0,10,20
T3_DiagnoseFrance,44,__source_group_overlap_audit__,source,0,0,0,0,0,0,0
T3_DiagnoseFrance,44,__target_group_overlap_audit__,target,0,0,0,0,0,0,0
T3_DiagnoseFrance,45,source_train,source,58,58,31,27,0,31,27
T3_DiagnoseFrance,45,source_val,source,15,15,8,7,0,8,7
T3_DiagnoseFrance,45,target_adapt_unlabeled,target,45,37,15,30,0,15,30
T3_DiagnoseFrance,45,target_test,target,27,26,9,18,0,9,18
