seed,source_region,target_region,source_size,target_size,logme,logme_cross,h_divergence,wasserstein,encoder_checkpoint,target_auc
42,Belgium,France,69,72,-3.204998486572231,-2.016725440433563,0.3517241379310345,0.0024742358648942803,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,0.918421052631579
42,Belgium,Philippines,69,33,-3.204998486572231,-2.8157219883695963,0.7066666666666666,0.003341749089659232,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,0.75
42,France,Belgium,72,69,-3.1724637281302117,-2.016725440433563,0.3527093596059112,0.0024742358648942803,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,1.0
42,France,Philippines,72,33,-3.1724637281302117,-2.7277991419432364,0.7428571428571429,0.0029855245746499203,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,0.3333333333333333
42,Philippines,Belgium,33,69,-5.381688157321701,-2.8157219883695963,0.706666666666667,0.003341749089659232,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,0.5416666666666666
42,Philippines,France,33,72,-5.381688157321701,-2.727799141943237,0.7428571428571429,0.0029855245746499203,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,0.2947368421052632
43,Belgium,France,69,72,-6.323537411897079,-3.7156444331477516,0.3300492610837438,0.08031127793270912,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,0.985
43,Belgium,Philippines,69,33,-6.323537411897079,-5.120705890534156,1.6876190476190471,0.09568416775396113,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,0.7916666666666667
43,France,Belgium,72,69,-6.787493792647442,-3.715644433147748,0.8078817733990151,0.08031127793270912,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,0.9739583333333334
43,France,Philippines,72,33,-6.787493792647442,-5.146333140627328,1.5428571428571431,0.10884506420264359,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,0.625
43,Philippines,Belgium,33,69,-8.527388262700853,-5.120705890534152,1.6476190476190475,0.09568416775396113,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,0.65625
43,Philippines,France,33,72,-8.527388262700853,-5.146333140627324,1.5428571428571423,0.10884506420264359,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,0.4949999999999999
44,Belgium,France,69,72,-5.318251830508165,-3.0898624334075455,0.7812807881773396,0.037483809558212317,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,0.98
44,Belgium,Philippines,69,33,-5.318251830508165,-4.240108873175316,0.9790476190476189,0.04644820330082621,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,0.8125
44,France,Belgium,72,69,-5.280897736552925,-3.089862433407545,0.49753694581280783,0.037483809558212317,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,0.9895833333333331
44,France,Philippines,72,33,-5.280897736552925,-4.10497052170102,0.7809523809523808,0.0628732875958556,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,0.5416666666666666
44,Philippines,Belgium,33,69,-7.571405242774295,-4.240108873175319,0.9428571428571426,0.04644820330082621,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,0.7552083333333334
44,Philippines,France,33,72,-7.571405242774295,-4.104970521701019,0.8571428571428568,0.0628732875958556,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed44.pt,0.41
45,Belgium,France,69,72,-5.200678998778504,-2.9763662616092765,0.4413793103448276,0.023819818538577002,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,0.9567901234567902
45,Belgium,Philippines,69,33,-5.200678998778504,-4.19392226884721,0.7447619047619045,0.029369763514238218,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,0.5625
45,France,Belgium,72,69,-5.092825889030966,-2.9763662616092756,0.4394088669950742,0.023819818538577002,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,0.9583333333333331
45,France,Philippines,72,33,-5.092825889030966,-4.071477323497348,0.7047619047619045,0.02624859326513315,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,0.4166666666666666
45,Philippines,Belgium,33,69,-7.396543390900147,-4.193922268847211,0.8247619047619046,0.029369763514238218,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,0.8177083333333334
45,Philippines,France,33,72,-7.396543390900147,-4.071477323497345,0.7047619047619049,0.02624859326513315,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed45.pt,0.1975308641975308
46,Belgium,France,69,72,-5.875291965818363,-3.308339695033585,0.4088669950738919,0.064211189068061,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,0.95
46,Belgium,Philippines,69,33,-5.875291965818363,-4.53117564557645,1.3314285714285718,0.062367640551923634,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,0.6666666666666667
46,France,Belgium,72,69,-6.0085545735645205,-3.3083396950335846,0.29655172413793096,0.064211189068061,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,0.9375
46,France,Philippines,72,33,-6.0085545735645205,-4.530583646194542,1.276190476190476,0.08688081545260988,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,0.40625
46,Philippines,Belgium,33,69,-8.171142301858435,-4.53117564557645,1.2952380952380955,0.062367640551923634,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,0.6692708333333334
46,Philippines,France,33,72,-8.171142301858435,-4.5305836461945415,1.1619047619047622,0.08688081545260988,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed46.pt,0.56
