created_at_utc,task,model,seed,best_epoch,best_val_score,trained_epochs,threshold,val_roc_auc,val_balanced_accuracy,test_roc_auc,test_pr_auc,test_balanced_accuracy,test_macro_f1,test_licensed_consistency,test_illegal_consistency,test_mean_pred_illegal,runtime_s,experiment,family_id,test_form,recall_at_fpr_0_10,positive_score_mean,negative_score_mean,score_gap_pos_minus_neg,heldout_positive_count,negative_count,encoder_checkpoint
2026-04-28T16:07:42.798423+00:00,E3_w85_balanced_licensed,heco_disc_lr_finetune,42,64.0,1.0,89.0,0.39200249314308167,1.0,1.0,1.0,0.9999999999999999,0.95,0.949874686716792,0.9,1.0,0.5309777713146848,9.721199035644531,E3_w85_lofo,ggbet,balanced_licensed_negative,1.0,0.9985342204570771,0.06342132217229277,0.9351128982847843,10,10,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:07:42.835101+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,42,,,,,,,0.65,0.5817560217560218,0.5,0.3333333333333333,,,,,E3_w85_lofo,ggbet,hard_illegal_negative,0.1,0.9985342204570771,0.9350665211677551,0.06346769928932194,10,10,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:08:04.657277+00:00,E3_w85_balanced_licensed,heco_disc_lr_finetune,42,200.0,1.0,200.0,0.8485029935836792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49729506925436584,21.423943042755127,E3_w85_lofo,tsars,balanced_licensed_negative,1.0,0.994467125998603,0.00012301251012866526,0.9943441134884743,9,9,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:08:04.735607+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,42,,,,,,,0.37037037037037035,0.4334267040149393,0.5,0.3333333333333333,,,,,E3_w85_lofo,tsars,hard_illegal_negative,0.0,0.994467125998603,0.9516860776477389,0.04278104835086405,9,9,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:08:27.401581+00:00,E3_w85_balanced_licensed,heco_disc_lr_finetune,42,200.0,1.0,200.0,0.9992635846138,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4999936124138172,22.138469457626343,E3_w85_lofo,icecasino,balanced_licensed_negative,1.0,0.9999872247378031,8.983118950781142e-11,0.999987224647972,6,6,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:08:27.495944+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,42,,,,,,,0.6527777777777778,0.6117424242424243,0.5,0.3333333333333333,,,,,E3_w85_lofo,icecasino,hard_illegal_negative,0.0,0.9999872247378031,0.9999596178531647,2.7606884638431417e-05,6,6,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:08:34.857262+00:00,E3_w85_balanced_licensed,heco_disc_lr_finetune,42,37.0,1.0,62.0,0.649807870388031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3733169207852898,6.756521701812744,E3_w85_lofo,bcdot,balanced_licensed_negative,1.0,0.743101492524147,0.0035323490464325147,0.7395691434777145,4,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:08:34.920293+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,42,,,,,,,0.9375,0.95,0.5,0.3333333333333333,,,,,E3_w85_lofo,bcdot,hard_illegal_negative,0.75,0.743101492524147,0.6436014771461487,0.09950001537799835,4,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:08:56.418578+00:00,E3_w85_balanced_licensed,heco_disc_lr_finetune,42,200.0,1.0,200.0,0.9963778853416443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4998228736074629,20.904572010040283,E3_w85_lofo,verdecasino,balanced_licensed_negative,1.0,0.9991533756256104,0.0004923715893154532,0.9986610040362949,4,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:08:56.524363+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,42,,,,,,,0.5625,0.55,0.5,0.3333333333333333,,,,,E3_w85_lofo,verdecasino,hard_illegal_negative,0.0,0.9991533756256104,0.9982016384601593,0.0009517371654510498,4,4,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:09:07.784051+00:00,E3_w85_balanced_licensed,heco_disc_lr_finetune,42,79.0,1.0,104.0,0.8104230761528015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4716415692956861,10.808720111846924,E3_w85_lofo,freshbet,balanced_licensed_negative,1.0,0.9432030022144318,8.013637694048725e-05,0.9431228658374913,2,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:09:07.856204+00:00,E3_w85_hard_illegal_negative,heco_disc_lr_finetune,42,,,,,,,0.25,0.5,0.5,0.3333333333333333,,,,,E3_w85_lofo,freshbet,hard_illegal_negative,0.0,0.9432030022144318,0.9757792353630066,-0.03257623314857483,2,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
2026-04-28T16:09:20.526799+00:00,E3_w85_balanced_licensed,heco_disc_lr_finetune,42,85.0,1.0,110.0,0.8435177206993103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49998140623358545,12.171575546264648,E3_w85_lofo,bcgame,balanced_licensed_negative,1.0,0.9999628067016602,5.7655107355003565e-09,0.9999628009361494,2,2,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt
