config_id,feature_mode,edge_mode,node_or_edge,name,original_count,transformed_count,transfer_id,seed,is_posthoc
C8_no_registrar_edge,full,remove_registered_via,edge,Website|hosted_on|IP,1516,1516,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,Website|uses_cert|Certificate,519,519,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,Website|uses_ns|NameServer,1662,1662,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,Website|registered_via|Registrar,252,0,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,Website|referenced_by|ExternalReference,57,57,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,IP|rev_hosted_on|Website,1516,1516,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,Certificate|rev_uses_cert|Website,519,519,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,NameServer|rev_uses_ns|Website,1662,1662,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,Registrar|rev_registered_via|Website,252,0,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,edge,ExternalReference|rev_referenced_by|Website,57,57,T1_Nordic,42,True
C8_no_registrar_edge,full,remove_registered_via,node_feature,Website.x_nonzero_columns,7,7,T1_Nordic,42,True
