created_at_utc,transfer_id,method,seed,source_size,target_size,source_train_size,source_val_size,target_test_size,source_train_auc,source_val_auc,target_test_auc,target_pr_auc,target_balanced_acc,target_macro_f1,target_licensed_consistency,target_illegal_consistency,target_illegal_recall_at_youden,target_mean_pred_illegal,target_label_class_count,target_has_complete_binary_labels,configured_primary_metric,effective_primary_metric,primary_metric_direction,primary_metric_value,threshold,domain_acc_final,pseudo_label_quality,best_epoch,best_source_val_score,selection_policy,best_state_min_epoch,trained_epochs,force_full_epochs,purpose,runtime_s,experiment,config_id,feature_mode,edge_mode,encoder_checkpoint,is_posthoc
2026-04-30T13:08:01.343542+00:00,T1_Nordic,source_only,42,100,77,80,20,31,1.0,1.0,,,0.3225806451612903,0.24390243902439024,,0.3225806451612903,0.3225806451612903,0.31334025309956254,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3225806451612903,0.29037538170814514,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,19.43097734451294,E5_structure_vs_lexical,C1_full,full,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:08:20.350163+00:00,T1_Nordic,source_only,42,100,77,80,20,31,1.0,1.0,,,0.22580645161290322,0.18421052631578946,,0.22580645161290322,0.22580645161290322,0.3021046014081321,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.22580645161290322,0.9482346177101135,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,18.549595832824707,E5_structure_vs_lexical,C2_no_cctld,no_cctld,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:08:36.556457+00:00,T1_Nordic,source_only,42,100,77,80,20,31,1.0,0.9890109890109889,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.02102376798466531,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.12205763161182404,,,147,0.9890109890109889,best_source_val,1,172,False,E5_structure_vs_lexical,15.812876224517822,E5_structure_vs_lexical,C3_no_website_lexical,zero_website_lexical,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:08:51.957624+00:00,T1_Nordic,source_only,42,100,77,80,20,31,1.0,0.9890109890109889,,,0.06451612903225806,0.06060606060606061,,0.06451612903225806,0.06451612903225806,0.02102376798466531,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.06451612903225806,0.12205763161182404,,,147,0.9890109890109889,best_source_val,1,172,False,E5_structure_vs_lexical,14.973240613937378,E5_structure_vs_lexical,C4_graph_only,zero_website_all,full,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:08:57.385510+00:00,T1_Nordic,source_only,42,100,77,80,20,31,0.9856743535988819,1.0,,,0.3870967741935484,0.27906976744186046,,0.3870967741935484,0.3870967741935484,0.439083838534932,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3870967741935484,0.21477562189102173,,,53,1.0,best_source_val,1,78,False,E5_structure_vs_lexical,4.9915807247161865,E5_structure_vs_lexical,C5_lex_only,website_lexical_only,empty_all,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:09:02.389121+00:00,T1_Nordic,source_only,42,100,77,80,20,31,0.9856743535988819,1.0,,,0.3870967741935484,0.27906976744186046,,0.3870967741935484,0.3870967741935484,0.439083838534932,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3870967741935484,0.21477562189102173,,,53,1.0,best_source_val,1,78,False,E5_structure_vs_lexical,4.7224133014678955,E5_structure_vs_lexical,C6_no_edges,full,empty_all,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:09:14.735036+00:00,T1_Nordic,source_only,42,100,77,80,20,31,1.0,1.0,,,0.3548387096774194,0.2619047619047619,,0.3548387096774194,0.3548387096774194,0.3065136980836659,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3548387096774194,0.04260864108800888,,,97,1.0,best_source_val,1,122,False,E5_structure_vs_lexical,11.777479648590088,E5_structure_vs_lexical,C7_no_cert_edge,full,remove_uses_cert,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:09:33.986908+00:00,T1_Nordic,source_only,42,100,77,80,20,31,1.0,1.0,,,0.3225806451612903,0.24390243902439024,,0.3225806451612903,0.3225806451612903,0.3499395965798286,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3225806451612903,0.9270204305648804,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,18.808757066726685,E5_structure_vs_lexical,C8_no_registrar_edge,full,remove_registered_via,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:09:53.753701+00:00,T1_Nordic,source_only,42,100,77,80,20,31,1.0,1.0,,,0.3225806451612903,0.24390243902439024,,0.3225806451612903,0.3225806451612903,0.3129458996572333,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.3225806451612903,0.29037538170814514,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,19.104355096817017,E5_structure_vs_lexical,C9_infra_edges_only,full,infra_only,<workspace_root>\output\week5\checkpoints\heco_encoder__tau0.7__seed42.pt,True
2026-04-30T13:10:12.721326+00:00,T1_Nordic,source_only,43,100,77,80,20,31,1.0,1.0,,,0.25806451612903225,0.20512820512820512,,0.25806451612903225,0.25806451612903225,0.329555466958324,1,False,illegal_recall_at_youden,illegal_recall_at_youden,higher_is_better,0.25806451612903225,0.9992050528526306,,,200,1.0,best_source_val,1,200,False,E5_structure_vs_lexical,18.556376934051514,E5_structure_vs_lexical,C1_full,full,full,<workspace_root>\output\week6\checkpoints\heco_encoder__tau0.7__seed43.pt,True
