target_id,shot,feature_condition,training_mode,n_seeds,mean_auc,std_auc,min_auc,max_auc,median_auc,ci95_low,ci95_high,mean_delta_auc,std_delta_auc,success_rate_positive,success_rate_delta_ge_005,success_rate,success_rate_delta_ge_0_05,wilcoxon_p_vs_0,stability_label,is_posthoc
T2_PH,0,full,source_only_baseline_from_corrected_E5,5,0.6416666666666666,0.13693063937629155,0.4583333333333333,0.7916666666666667,0.7083333333333333,0.5216416692702909,0.7616916640630423,0.0,0.0,0.0,0.0,0.0,0.0,,no meaningful improvement,True
T2_PH,0,graph-only,source_only_baseline_from_corrected_E5,5,0.5979166666666667,0.265941396531057,0.25,0.9375,0.625,0.364808754722196,0.8310245786111373,0.0,0.0,0.0,0.0,0.0,0.0,,no meaningful improvement,True
T2_PH,0,no-ccTLD,source_only_baseline_from_corrected_E5,5,0.6041666666666667,0.1816207893141947,0.3125,0.7916666666666666,0.625,0.4449690257014537,0.7633643076318798,0.0,0.0,0.0,0.0,0.0,0.0,,no meaningful improvement,True
T2_PH,0,no-website-lexical,source_only_baseline_from_corrected_E5,5,0.5979166666666667,0.265941396531057,0.25,0.9375,0.625,0.364808754722196,0.8310245786111373,0.0,0.0,0.0,0.0,0.0,0.0,,no meaningful improvement,True
T2_PH,1,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.8083333333333333,0.0785060153392365,0.7291666666666667,0.8958333333333333,0.8125,0.7395197768523931,0.8771468898142736,0.16666666666666669,0.16271353491472193,1.0,0.8,1.0,0.8,,stable improvement,True
T2_PH,1,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.5604166666666667,0.25413251136628184,0.3333333333333333,0.9166666666666667,0.41666666666666663,0.337659698949231,0.7831736343841024,-0.03750000000000001,0.10663736576724774,0.2,0.2,0.2,0.2,,unstable/sample-sensitive,True
T2_PH,1,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.8583333333333334,0.11448859720028405,0.6875,0.9375,0.9375,0.7579796532258699,0.9586870134407969,0.2541666666666667,0.22602006425192528,1.0,1.0,1.0,1.0,,stable improvement,True
T2_PH,1,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.5604166666666667,0.25413251136628184,0.3333333333333333,0.9166666666666667,0.41666666666666663,0.337659698949231,0.7831736343841024,-0.03750000000000001,0.10663736576724774,0.2,0.2,0.2,0.2,,unstable/sample-sensitive,True
T2_PH,3,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.9416666666666668,0.03090082702956524,0.8958333333333334,0.9791666666666666,0.9375,0.914580897545431,0.9687524357879025,0.30000000000000004,0.14701898970314456,1.0,1.0,1.0,1.0,,stable improvement,True
T2_PH,3,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.86875,0.09535660409454844,0.7708333333333333,0.9791666666666667,0.8854166666666667,0.7851662512472936,0.9523337487527065,0.27083333333333337,0.22292640165659058,1.0,0.8,1.0,0.8,,stable improvement,True
T2_PH,3,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.8625,0.1940969116475353,0.5208333333333333,0.9791666666666666,0.9375,0.6923665556426695,1.0326334443573306,0.2583333333333333,0.3102698198521911,0.8,0.8,0.8,0.8,,stable improvement,True
T2_PH,3,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.86875,0.09535660409454844,0.7708333333333333,0.9791666666666667,0.8854166666666667,0.7851662512472936,0.9523337487527065,0.27083333333333337,0.22292640165659058,1.0,0.8,1.0,0.8,,stable improvement,True
T2_PH,5,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.9375,0.03897559777889522,0.875,0.9791666666666666,0.9375,0.9033363822498586,0.9716636177501414,0.29583333333333334,0.16231292650652046,1.0,1.0,1.0,1.0,0.0625,stable improvement,True
T2_PH,5,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.85625,0.13629522694830104,0.6458333333333334,1.0,0.8854166666666666,0.7367819661536563,0.9757180338463436,0.2583333333333333,0.18257418583505539,1.0,1.0,1.0,1.0,0.0625,stable improvement,True
T2_PH,5,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.9041666666666666,0.13388557510883026,0.6666666666666666,0.9791666666666666,0.9583333333333334,0.7868107857838672,1.0215225475494658,0.3,0.2670407532360723,0.8,0.8,0.8,0.8,0.125,stable improvement,True
T2_PH,5,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.85625,0.13629522694830104,0.6458333333333334,1.0,0.8854166666666666,0.7367819661536563,0.9757180338463436,0.2583333333333333,0.18257418583505539,1.0,1.0,1.0,1.0,0.0625,stable improvement,True
T2_PH,10,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.9541666666666666,0.040073716795148616,0.8958333333333334,1.0,0.9583333333333334,0.9190405051595759,0.9892928281737573,0.3125,0.14508737788733456,1.0,1.0,1.0,1.0,0.0625,stable improvement,True
T2_PH,10,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.9354166666666668,0.0834634401000422,0.8125,1.0,0.9791666666666666,0.8622577357923937,1.0085755975409398,0.3375,0.22697818666608077,1.0,1.0,1.0,1.0,0.0625,stable improvement,True
T2_PH,10,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.9416666666666667,0.04007371679514864,0.8958333333333334,1.0,0.9375,0.906540505159576,0.9767928281737573,0.3375,0.1848187926351406,1.0,1.0,1.0,1.0,0.0625,stable improvement,True
T2_PH,10,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.9354166666666668,0.0834634401000422,0.8125,1.0,0.9791666666666666,0.8622577357923937,1.0085755975409398,0.3375,0.22697818666608077,1.0,1.0,1.0,1.0,0.0625,stable improvement,True
T3_DiagnoseFrance,0,full,source_only_baseline_from_corrected_E5,5,0.9861234567901235,0.02077173793364505,0.9506172839506172,1.0,0.995,0.9679162257221905,1.0043306878580565,0.0,0.0,0.0,0.0,0.0,0.0,,no meaningful improvement,True
T3_DiagnoseFrance,0,no-ccTLD,source_only_baseline_from_corrected_E5,5,0.9045877192982456,0.05072797992292457,0.8333333333333333,0.955,0.92,0.8601226844024352,0.9490527541940559,0.0,0.0,0.0,0.0,0.0,0.0,,no meaningful improvement,True
T3_DiagnoseFrance,1,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,5,0.9586543209876541,0.03787502109549643,0.905,1.0,0.9650000000000001,0.9254554012346968,0.9918532407406114,-0.027469135802469125,0.031243594069838572,0.0,0.0,0.0,0.0,,unstable/sample-sensitive,True
