target_id,shot,feature_condition,training_mode,mean_auc,std_auc,mean_delta_vs_source_only,success_rate_positive,success_rate_delta_ge_005,success_rate,shortcut_dependency_label,paper_safe_claim,is_posthoc
T2_PH,0,full,source_only_baseline_from_corrected_E5,0.6416666666666666,0.13693063937629155,0.0,0.0,0.0,0.0,mixed shortcut sensitivity,Few-shot calibration has potential for T2_PH but remains sample-sensitive.,True
T2_PH,0,graph-only,source_only_baseline_from_corrected_E5,0.5979166666666667,0.265941396531057,0.0,0.0,0.0,0.0,mixed shortcut sensitivity,Few-shot calibration has potential for T2_PH but remains sample-sensitive.,True
T2_PH,0,no-ccTLD,source_only_baseline_from_corrected_E5,0.6041666666666667,0.1816207893141947,0.0,0.0,0.0,0.0,mixed shortcut sensitivity,Few-shot calibration has potential for T2_PH but remains sample-sensitive.,True
T2_PH,0,no-website-lexical,source_only_baseline_from_corrected_E5,0.5979166666666667,0.265941396531057,0.0,0.0,0.0,0.0,mixed shortcut sensitivity,Few-shot calibration has potential for T2_PH but remains sample-sensitive.,True
T2_PH,1,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.8083333333333333,0.0785060153392365,0.16666666666666669,1.0,0.8,1.0,mixed shortcut sensitivity,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,1,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.5604166666666667,0.25413251136628184,-0.03750000000000001,0.2,0.2,0.2,partly shortcut-dependent,Few-shot calibration has potential for T2_PH but remains sample-sensitive.,True
T2_PH,1,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.8583333333333334,0.11448859720028405,0.2541666666666667,1.0,1.0,1.0,mixed shortcut sensitivity,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,1,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.5604166666666667,0.25413251136628184,-0.03750000000000001,0.2,0.2,0.2,partly shortcut-dependent,Few-shot calibration has potential for T2_PH but remains sample-sensitive.,True
T2_PH,3,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9416666666666668,0.03090082702956524,0.30000000000000004,1.0,1.0,1.0,partly shortcut-dependent,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,3,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.86875,0.09535660409454844,0.27083333333333337,1.0,0.8,1.0,partly shortcut-dependent,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,3,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.8625,0.1940969116475353,0.2583333333333333,0.8,0.8,0.8,partly shortcut-dependent,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,3,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.86875,0.09535660409454844,0.27083333333333337,1.0,0.8,1.0,partly shortcut-dependent,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,5,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9375,0.03897559777889522,0.29583333333333334,1.0,1.0,1.0,mixed shortcut sensitivity,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,5,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.85625,0.13629522694830104,0.2583333333333333,1.0,1.0,1.0,partly shortcut-dependent,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,5,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9041666666666666,0.13388557510883026,0.3,0.8,0.8,0.8,mixed shortcut sensitivity,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,5,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.85625,0.13629522694830104,0.2583333333333333,1.0,1.0,1.0,partly shortcut-dependent,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,10,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9541666666666666,0.040073716795148616,0.3125,1.0,1.0,1.0,mixed shortcut sensitivity,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,10,graph-only,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9354166666666668,0.0834634401000422,0.3375,1.0,1.0,1.0,mixed shortcut sensitivity,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,10,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9416666666666667,0.04007371679514864,0.3375,1.0,1.0,1.0,mixed shortcut sensitivity,Few-shot calibration substantially improves a hard but recoverable target.,True
T2_PH,10,no-website-lexical,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9354166666666668,0.0834634401000422,0.3375,1.0,1.0,1.0,mixed shortcut sensitivity,Few-shot calibration substantially improves a hard but recoverable target.,True
T3_DiagnoseFrance,0,full,source_only_baseline_from_corrected_E5,0.9861234567901235,0.02077173793364505,0.0,0.0,0.0,0.0,partly shortcut-dependent,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,0,no-ccTLD,source_only_baseline_from_corrected_E5,0.9045877192982456,0.05072797992292457,0.0,0.0,0.0,0.0,partly shortcut-dependent,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,1,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9586543209876541,0.03787502109549643,-0.027469135802469125,0.0,0.0,0.0,partly shortcut-dependent,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,1,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.8555204678362573,0.1341846529991771,-0.049067251461988294,0.6,0.2,0.6,partly shortcut-dependent,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,3,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9816315789473684,0.023427261152276228,-0.004491877842754977,0.2,0.0,0.2,mixed shortcut sensitivity,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,3,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9477894736842105,0.06495006605333369,0.043201754385964894,0.8,0.4,0.8,mixed shortcut sensitivity,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,5,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.8862917478882391,0.24244971608648108,-0.09983170890188434,0.4,0.0,0.4,mixed shortcut sensitivity,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,5,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9651578947368421,0.035782507061892,0.06057017543859648,0.8,0.6,0.8,mixed shortcut sensitivity,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,10,full,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9957654320987654,0.004285035618817471,0.009641975308641993,0.4,0.0,0.4,mixed shortcut sensitivity,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
T3_DiagnoseFrance,10,no-ccTLD,heco_encoder_checkpoint_source_plus_balanced_target_joint_finetune,0.9614346978557504,0.03916196159642972,0.05684697855750489,1.0,0.4,1.0,mixed shortcut sensitivity,Few-shot provides little additional benefit for saturated / shortcut-sensitive target.,True
